technology_nm,array_dim,chiplet_size,workload,batch_size,flops,execution_time_s,energy_j,power_w,cycle_count,throughput
16,256x512,64x64,llama_3_70b,64,1.893e+07,3.657e+04,2.268e+01,6.089e-03,3.657e+12,5.178e+02
16,256x512,32x32,llama_3_70b,64,1.893e+07,3.657e+04,1.688e+01,5.405e-03,3.657e+12,5.178e+02
16,512x512,32x32,llama_3_70b,64,3.787e+07,3.657e+04,2.793e+01,1.012e-02,3.657e+12,1.036e+03
16,512x512,64x64,llama_3_70b,64,3.787e+07,3.657e+04,3.373e+01,1.080e-02,3.657e+12,1.036e+03
16,256x256,64x64,llama_3_70b,64,3.787e+07,4.920e+04,3.506e+01,3.045e-03,4.920e+12,7.696e+02
16,256x256,32x32,llama_3_70b,64,3.787e+07,4.920e+04,2.861e+01,2.703e-03,4.920e+12,7.696e+02
16,128x128,32x32,llama_3_70b,64,3.787e+07,7.480e+04,3.102e+01,7.621e-04,7.480e+12,5.062e+02
16,128x128,64x64,llama_3_70b,64,3.787e+07,7.480e+04,3.986e+01,9.331e-04,7.480e+12,5.062e+02
16,64x128,64x64,llama_3_70b,64,1.893e+07,7.480e+04,2.880e+01,6.385e-04,7.480e+12,2.531e+02
16,64x128,32x32,llama_3_70b,64,1.893e+07,7.480e+04,1.997e+01,4.675e-04,7.480e+12,2.531e+02
16,64x128,32x32,llama_3_70b,32,9.466e+06,5.369e+04,1.012e+01,4.675e-04,5.369e+12,1.763e+02
16,64x128,64x64,llama_3_70b,32,9.466e+06,5.369e+04,1.468e+01,6.385e-04,5.369e+12,1.763e+02
16,128x128,64x64,llama_3_70b,32,1.893e+07,5.369e+04,2.020e+01,9.331e-04,5.369e+12,3.526e+02
16,128x128,32x32,llama_3_70b,32,1.893e+07,5.369e+04,1.565e+01,7.621e-04,5.369e+12,3.526e+02
16,128x128,16x16,llama_3_70b,32,1.893e+07,5.369e+04,1.337e+01,6.766e-04,5.369e+12,3.526e+02
16,64x128,16x16,llama_3_70b,32,9.466e+06,5.369e+04,7.844e+00,3.819e-04,5.369e+12,1.763e+02
16,64x128,16x16,llama_3_70b,64,1.893e+07,7.480e+04,1.555e+01,3.819e-04,7.480e+12,2.531e+02
16,128x128,16x16,llama_3_70b,64,3.787e+07,7.480e+04,2.661e+01,6.766e-04,7.480e+12,5.062e+02
16,64x64,16x16,llama_3_70b,64,3.787e+07,1.266e+05,2.982e+01,1.910e-04,1.266e+13,2.992e+02
16,64x64,16x16,llama_3_70b,32,1.893e+07,1.021e+05,1.494e+01,1.910e-04,1.021e+13,1.855e+02
16,64x64,32x32,llama_3_70b,32,1.893e+07,1.021e+05,1.874e+01,2.337e-04,1.021e+13,1.855e+02
16,64x64,64x64,llama_3_70b,32,1.893e+07,1.021e+05,2.635e+01,3.192e-04,1.021e+13,1.855e+02
16,64x64,64x64,llama_3_70b,64,3.787e+07,1.266e+05,5.247e+01,3.192e-04,1.266e+13,2.992e+02
16,64x64,32x32,llama_3_70b,64,3.787e+07,1.266e+05,3.737e+01,2.337e-04,1.266e+13,2.992e+02
16,32x32,32x32,llama_3_70b,64,3.787e+07,4.110e+05,5.094e+01,8.004e-05,4.110e+13,9.213e+01
16,32x32,32x32,llama_3_70b,128,7.573e+07,8.220e+05,1.022e+02,8.004e-05,8.220e+13,9.213e+01
16,32x32,32x32,llama_3_70b,32,1.893e+07,2.055e+05,2.539e+01,8.004e-05,2.055e+13,9.213e+01
16,32x32,16x16,llama_3_70b,32,1.893e+07,2.055e+05,1.830e+01,5.866e-05,2.055e+13,9.213e+01
16,32x32,16x16,llama_3_70b,64,3.787e+07,4.110e+05,3.668e+01,5.866e-05,4.110e+13,9.213e+01
16,32x32,16x16,llama_3_70b,128,7.573e+07,8.220e+05,7.351e+01,5.866e-05,8.220e+13,9.213e+01
