model,array_dim,array_m,array_n,pe_count,batch_size,frequency,max_seq_len,cycle_count,llama_cycle_count,runtime_ms,runtime_ms_per_sequence,throughput_tokens_per_s,total_data_moved,window_cycle_count,average_bandwidth,peak_bandwidth,peak_phase
llama_3_1_405b,256x512,256,512,131072,128,1000,131072,1773669900132986.5,2630864159894732.5,2630864159.8947325,20553626.249177597,6.2774324314261865,7.095828811024957e+17,1773669900132986.8,400.06479280574837,1927.5520556607858,prefill
llama_3_1_405b,256x512,256,512,131072,256,1000,131072,3445578501604597.0,4854751950137753.0,4854751950.137754,18963874.805225603,6.803672842453415,1.3713074529249526e+18,3445578501604597.5,397.9904832487021,1945.408702176642,prefill
llama_3_1_405b,256x512,256,512,131072,512,1000,131072,6891141231643114.0,9552256030073650.0,9552256030.07365,18656750.0587376,6.915673930014066,2.7178744000670597e+18,6891141231643115.0,394.40120419923727,1954.227590582598,prefill
llama_3_1_405b,512x32,512,32,16384,32,1000,131072,7181031875632423.0,7181031875632423.0,7181031875.632423,224407246.11351323,0.5749546961363942,2.4662447782100992e+17,7181031875632423.0,34.34387732741961,130.5321486868213,prefill
llama_3_1_405b,512x32,512,32,16384,64,1000,131072,1.2734152229173838e+16,1.2734152229173838e+16,12734152229.173836,198971128.58084118,0.6484558886520969,3.923523565466419e+17,1.2734152229173838e+16,30.811030800131782,130.64596076591502,prefill
llama_3_1_405b,512x32,512,32,16384,128,1000,131072,2.3840392936256668e+16,2.3840392936256668e+16,23840392936.25667,186253069.81450525,0.6927348909121266,6.913853833483387e+17,2.3840392936256668e+16,29.000586743554635,130.7028668054619,prefill
llama_3_1_405b,512x32,512,32,16384,256,1000,131072,4.605274817920441e+16,4.605274817920441e+16,46052748179.2044,179893547.57501718,0.717224168066372,1.3076666834569134e+18,4.605274817920441e+16,28.39497609064303,131.86674576472123,prefill
llama_3_1_405b,512x32,512,32,16384,512,1000,131072,9.047745866509989e+16,9.047745866509989e+16,90477458665.0999,176713786.45527324,0.7301297911618024,2.5523733165884047e+18,9.047745866509989e+16,28.210046504908505,132.45669107131943,prefill
llama_3_1_405b,512x64,512,64,32768,32,1000,131072,3591654335501500.0,3591654335501500.0,3591654335.5015,112239197.98442188,1.14954492117725,2.4662447782100992e+17,3591654335501500.0,68.6659836341333,261.0642973736426,prefill
llama_3_1_405b,512x64,512,64,32768,64,1000,131072,6369352909957496.0,6369352909957496.0,6369352909.957496,99521139.21808587,1.2964481819009626,3.923523565466419e+17,6369352909957496.0,61.600034115437346,261.29192153183004,prefill
llama_3_1_405b,512x64,512,64,32768,128,1000,131072,1.1924750058869488e+16,1.1924750058869488e+16,11924750058.869492,93162109.8349179,1.3849407256730113,6.913853833483387e+17,1.1924750058869488e+16,57.97902513135647,261.4057336109238,prefill
llama_3_1_405b,512x64,512,64,32768,256,1000,131072,2.303548127108451e+16,2.303548127108451e+16,23035481271.08451,89982348.71517387,1.4338812205092228,1.3076666834569134e+18,2.303548127108451e+16,56.76750001739157,263.73349152944246,prefill
llama_3_1_405b,512x64,512,64,32768,512,1000,131072,4.525694369551456e+16,4.525694369551456e+16,45256943695.514565,88392468.15530188,1.4596718780757452,2.5523733165884047e+18,4.525694369551456e+16,56.3973858632741,264.91338214263885,prefill
llama_3_1_405b,512x128,512,128,65536,32,1000,131072,1796961071843014.2,1796961071843014.2,1796961071.8430145,56155033.4950942,2.2976390889566782,2.4662447782100992e+17,1796961071843014.2,137.2453091418752,522.1285947472852,prefill
llama_3_1_405b,512x128,512,128,65536,64,1000,131072,3186944263163276.5,3186944263163276.5,3186944263.163276,49796004.11192619,2.5910512761223474,3.923523565466419e+17,3186944263163276.5,123.11239988778573,522.5838430636601,prefill
llama_3_1_405b,512x128,512,128,65536,128,1000,131072,5966910645803801.0,5966910645803801.0,5966910645.8038025,46616489.42034221,2.7677759866597187,6.913853833483387e+17,5966910645803801.0,115.86990729190019,522.8114672218476,prefill
llama_3_1_405b,512x128,512,128,65536,256,1000,131072,1.152681186828037e+16,1.152681186828037e+16,11526811868.280369,45026608.86047019,2.865505603582616,1.3076666834569134e+18,1.152681186828037e+16,113.44565161641681,527.4669830588849,prefill
llama_3_1_405b,512x128,512,128,65536,512,1000,131072,2.2646614313233508e+16,2.2646614313233508e+16,22646614313.233513,44231668.580534205,2.917005035997711,2.5523733165884047e+18,2.2646614313233508e+16,112.7044105262538,529.8267642852777,prefill
llama_3_1_405b,512x256,512,256,131072,32,1000,131072,1039230900425021.2,1242917813961021.2,1242917813.961021,38841181.686281905,3.321835083240252,2.4662447782100992e+17,1039230900425021.4,237.31441946168673,1033.2935413193227,prefill
llama_3_1_405b,512x256,512,256,131072,64,1000,131072,1874972860588666.5,2078858493792890.5,2078858493.7928905,32482163.965513915,3.9721491504378794,3.923523565466419e+17,1874972860588666.8,209.2576190267943,1034.1944786549507,prefill
llama_3_1_405b,512x256,512,256,131072,128,1000,131072,3546456780915957.0,3750739853456629.0,3750739853.456629,29302655.105129912,4.403150483705219,6.913853833483387e+17,3546456780915957.5,194.95102465897577,1034.6449473227644,prefill
llama_3_1_405b,512x256,512,256,131072,256,1000,131072,6889408850168298.0,7094502572784106.0,7094502572.784107,27712900.67493792,4.655737828147397,1.3076666834569134e+18,6889408850168299.0,189.8082566873599,1043.758177031298,prefill
llama_3_1_405b,512x256,512,256,131072,512,1000,131072,1.357531298867298e+16,1.378202801143906e+16,13782028011.43906,26918023.459841914,4.7932196876374125,2.5523733165884047e+18,1.3575312988672982e+16,188.01579887830673,1048.3768108081333,prefill
llama_3_1_405b,512x512,512,512,262144,32,1000,131072,660349196707246.0,965882036458925.9,965882036.458926,30183813.639341436,4.274608952389991,2.4662447782100992e+17,660349196707246.0,373.47585043000583,2036.029873737633,prefill
