model,array_dim,array_m,array_n,pe_count,batch_size,frequency,max_seq_len,cycle_count,llama_cycle_count,runtime_ms,runtime_ms_per_sequence,throughput_tokens_per_s,total_data_moved,window_cycle_count,average_bandwidth,peak_bandwidth,peak_phase
llama_3_1_405b,128x512,128,512,65536,32,2000,131072,4.496e+14,1.925e+15,9.626e+08,3.008e+07,4.289e+00,2.473e+17,4.496e+14,1100.2,3823.2,prefill
llama_3_1_405b,128x512,128,512,65536,64,2000,131072,7.974e+14,3.037e+15,1.518e+09,2.372e+07,5.439e+00,4.036e+17,7.974e+14,1012.3,3825.0,prefill
llama_3_1_405b,128x512,128,512,65536,128,2000,131072,1.493e+15,5.259e+15,2.630e+09,2.054e+07,6.281e+00,7.465e+17,1.493e+15,999.9,3825.8,prefill
llama_3_1_405b,128x512,128,512,65536,256,2000,131072,2.986e+15,9.982e+15,4.991e+09,1.950e+07,6.618e+00,1.501e+18,2.986e+15,1005.2,3861.7,prefill
llama_3_1_405b,128x512,128,512,65536,512,2000,131072,5.972e+15,2.040e+16,1.020e+10,1.992e+07,6.478e+00,3.055e+18,5.972e+15,1023.2,3879.8,prefill
llama_3_1_405b,256x32,256,32,8192,32,2000,131072,4.961e+15,4.961e+15,2.481e+09,7.752e+07,1.664e+00,2.468e+17,4.961e+15,99.5,231.9,prefill
llama_3_1_405b,256x32,256,32,8192,64,2000,131072,8.294e+15,8.294e+15,4.147e+09,6.480e+07,1.991e+00,3.961e+17,8.294e+15,95.5,249.1,prefill
llama_3_1_405b,256x32,256,32,8192,128,2000,131072,1.496e+16,1.496e+16,7.480e+09,5.844e+07,2.208e+00,7.096e+17,1.496e+16,94.9,249.2,prefill
llama_3_1_405b,256x32,256,32,8192,256,2000,131072,2.829e+16,2.829e+16,1.415e+10,5.526e+07,2.335e+00,1.371e+18,2.829e+16,96.9,249.2,prefill
llama_3_1_405b,256x32,256,32,8192,512,2000,131072,5.659e+16,5.659e+16,2.829e+10,5.526e+07,2.335e+00,2.718e+18,5.659e+16,96.1,251.6,prefill
llama_3_1_405b,256x64,256,64,16384,32,2000,131072,2.481e+15,2.481e+15,1.241e+09,3.877e+07,3.328e+00,2.468e+17,2.481e+15,199.0,463.8,prefill
llama_3_1_405b,256x64,256,64,16384,64,2000,131072,4.148e+15,4.148e+15,2.074e+09,3.241e+07,3.981e+00,3.961e+17,4.148e+15,191.0,498.1,prefill
llama_3_1_405b,256x64,256,64,16384,128,2000,131072,7.483e+15,7.483e+15,3.741e+09,2.923e+07,4.414e+00,7.096e+17,7.483e+15,189.7,498.3,prefill
llama_3_1_405b,256x64,256,64,16384,256,2000,131072,1.415e+16,1.415e+16,7.076e+09,2.764e+07,4.668e+00,1.371e+18,1.415e+16,193.8,498.5,prefill
llama_3_1_405b,256x64,256,64,16384,512,2000,131072,2.830e+16,2.830e+16,1.415e+10,2.764e+07,4.668e+00,2.718e+18,2.830e+16,192.1,503.1,prefill
llama_3_1_405b,256x128,256,128,32768,32,2000,131072,1.241e+15,1.925e+15,9.624e+08,3.007e+07,4.290e+00,2.468e+17,1.241e+15,397.8,927.6,prefill
llama_3_1_405b,256x128,256,128,32768,64,2000,131072,2.075e+15,3.036e+15,1.518e+09,2.372e+07,5.440e+00,3.961e+17,2.075e+15,381.7,996.2,prefill
llama_3_1_405b,256x128,256,128,32768,128,2000,131072,3.744e+15,5.257e+15,2.629e+09,2.054e+07,6.283e+00,7.096e+17,3.744e+15,379.1,996.7,prefill
llama_3_1_405b,256x128,256,128,32768,256,2000,131072,7.080e+15,9.701e+15,4.850e+09,1.895e+07,6.810e+00,1.371e+18,7.080e+15,387.4,996.9,prefill
llama_3_1_405b,256x128,256,128,32768,512,2000,131072,1.416e+16,1.909e+16,9.543e+09,1.864e+07,6.922e+00,2.718e+18,1.416e+16,383.9,1006.2,prefill
llama_3_1_405b,256x256,256,256,65536,32,2000,131072,7.602e+14,1.924e+15,9.618e+08,3.006e+07,4.293e+00,2.468e+17,7.602e+14,649.4,1833.9,prefill
llama_3_1_405b,256x256,256,256,65536,64,2000,131072,1.317e+15,3.033e+15,1.517e+09,2.370e+07,5.445e+00,3.961e+17,1.317e+15,601.5,1968.0,prefill
llama_3_1_405b,256x256,256,256,65536,128,2000,131072,2.430e+15,5.253e+15,2.626e+09,2.052e+07,6.288e+00,7.096e+17,2.430e+15,583.9,1968.9,prefill
llama_3_1_405b,256x256,256,256,65536,256,2000,131072,4.657e+15,9.691e+15,4.846e+09,1.893e+07,6.816e+00,1.371e+18,4.657e+15,588.9,1969.4,prefill
llama_3_1_405b,256x256,256,256,65536,512,2000,131072,9.314e+15,1.907e+16,9.534e+09,1.862e+07,6.929e+00,2.718e+18,9.314e+15,583.6,1987.5,prefill
llama_3_1_405b,256x512,256,512,131072,32,2000,131072,5.197e+14,1.924e+15,9.618e+08,3.006e+07,4.293e+00,2.468e+17,5.197e+14,949.9,3853.5,prefill
