gemm_class,model,array_dim,batch_size,max_seq_len,frequency,asram_size,wsram_size,osram_size,isram_active_elements,wsram_active_elements,active_fraction,input_data_moved,weight_data_moved,output_read_data_moved,output_write_data_moved,output_data_moved,total_data_moved,array_cycle_count,sram_cycle_count,window_cycle_count,sram_stall_cycle_count,dram_cycle_count,dram_stall_cycle_count,input_dram_bandwidth,weight_dram_bandwidth,output_dram_bandwidth,total_required_bandwidth
proj/ffn,deepseek_v4,256x512,256,1048576,1000,52428800,52428800,52428800,1638400,1638400,0.5,4986944646283264.0,7.420432292108698e+16,5110350036336640.0,8699501734264832.0,1.3809851770601472e+16,9.300111933797171e+16,73329020491776.0,73328974888960.0,73329020491776.0,0.0,291466822874112.0,218137802382336.0,68.00779026964584,1011.9366442295401,188.32723631089925,1268.271670810085
proj/ffn,deepseek_v4,256x512,256,1048576,1000,54525952,54525952,54525952,1703936,1703936,0.5,4966765527826432.0,7.420425545229926e+16,4010515436142592.0,7599667134070784.0,1.1610182570213376e+16,9.078120355033907e+16,73329111697408.0,73328974888960.0,73329111697408.0,0.0,291466819143680.0,218137707446272.0,67.73252004363219,1011.9344655162677,158.32978610354235,1237.9967716634421
proj/ffn,deepseek_v4,256x512,256,1048576,1000,56623104,56623104,56623104,1769472,1769472,0.5,4947424458309632.0,7.420418822415974e+16,2910680835948544.0,6499832533876736.0,9410513369825280.0,8.856212605229466e+16,73329066094592.0,73328974888960.0,73329066094592.0,0.0,291466815413248.0,218137749318656.0,67.4688049610181,1011.9341780302898,128.33264994383043,1207.7356329351385
proj/ffn,deepseek_v4,256x512,256,1048576,1000,58720256,58720256,58720256,1835008,1835008,0.5,4926963077611520.0,7.42041425631314e+16,1810846235754496.0,5399997933682688.0,7210844169437184.0,8.63419498101801e+16,73329215145984.0,73328974888960.0,73329215145984.0,0.0,291466811682816.0,218137596536832.0,67.18963332422021,1011.9314984540007,98.33521544014643,1177.4563472183675
proj/ffn,deepseek_v4,256x512,256,1048576,1000,60817408,60817408,60817408,1900544,1900544,0.5,4926963075252224.0,7.420407577618022e+16,1807141245026304.0,5396292942954496.0,7203434187980800.0,8.633447303941325e+16,73329225704448.0,73328974888960.0,73329225704448.0,0.0,291466807952384.0,218137582247936.0,67.18962361760441,1011.9304419667308,98.23415041928985,1177.354216003625
proj/ffn,deepseek_v4,256x512,256,1048576,1000,62914560,62914560,62914560,1966080,1966080,0.5,4926948048371712.0,7.420403047612416e+16,1803436254298112.0,5392587952226304.0,7196024206524416.0,8.632700273102029e+16,73329147616256.0,73328974888960.0,73329147616256.0,0.0,291466804221952.0,218137656605696.0,67.18949024411515,1011.9309018079218,98.13320405935228,1177.2535961113895
proj/ffn,deepseek_v4,256x512,256,1048576,1000,65011712,65011712,65011712,2031616,2031616,0.5,4926948046274560.0,7.420398533650022e+16,1799731263569920.0,5388882961498112.0,7188614225068032.0,8.631954760784282e+16,73329296262656.0,73328974888960.0,73329296262656.0,0.0,291466800491520.0,218137504228864.0,67.18935401516568,1011.9282349405236,98.03195436813346,1177.1495433238229
proj/ffn,deepseek_v4,256x512,256,1048576,1000,67108864,67108864,67108864,2097152,2097152,0.5,4926940532178944.0,7.420391919127757e+16,1796026272841728.0,5385177970769920.0,7181204243611648.0,8.631206396706816e+16,73328974888960.0,73328974888960.0,73328974888960.0,0.0,291466796761088.0,218137821872128.0,67.18954601015044,1011.9317678126889,97.93133279833712,1177.0526466211766
proj/ffn,deepseek_v4,256x512,256,1048576,1000,69206016,69206016,69206016,2162688,2162688,0.5,4926940530212864.0,7.420389553854874e+16,1792321282113536.0,5381472980041728.0,7173794262155264.0,8.630463033091686e+16,73329319938560.0,73328974888960.0,73329319938560.0,0.0,291466793030656.0,218137473092096.0,67.18922982431816,1011.9266836337976,97.82982125248029,1176.9457347105963
proj/ffn,deepseek_v4,256x512,256,1048576,1000,71303168,71303168,71303168,2228224,2228224,0.5,4926933016510464.0,7.420385088022118e+16,1788616291385344.0,5377767989313536.0,7166384280698880.0,8.629716817743053e+16,73329194968064.0,73328974888960.0,73329194968064.0,0.0,291466789300224.0,218137594332160.0,67.18924186548372,1011.9277991874602,97.7289370736983,1176.8459781266424
