flops,execution_time,cycle_count,throughput,energy_efficiency,power_efficiency,layer,arch,subarch,arch_dim,model,flops_baseline,execution_time_baseline,cycle_count_baseline
2200.088608768,21.518704640000056,8607481856.00002,7.998294499570769,9.650882947452498,2.413235208573632,attention,systolic,mac,16x16,llama_2_70b_GQA,1100.044304384,86.05646848000022,34422587392.00008
46901.04287232,454.49478144000005,181797912576.0,1.0,0.1919757930765568,1.0000599453290402,ffn,systolic,mac,16x16,llama_2_70b_GQA,9003.32519424,87.24676608,34898706432.0
4466.76598784,43.285217280000005,17314086912.0,1.0,0.9649534497698763,0.9649534497698762,projection,systolic,figna,16x16,llama_2_7b,4466.76598784,43.285217280000005,17314086912.0
1100.044304384,86.05646848000022,34422587392.00008,1.0,0.9433402718935966,0.9433402718935967,attention,systolic,figna,16x16,llama_2_7b,1100.044304384,86.05646848000022,34422587392.00008
9003.32519424,87.24676608,34898706432.0,1.0,0.9649524142926126,0.9649524142926124,ffn,systolic,figna,16x16,llama_2_7b,9003.32519424,87.24676608,34898706432.0
6979.321856,67.633152,27053260800.0,1.0000000000000002,0.6175876434568929,0.9649806929013951,projection,systolic,figna,16x16,llama_2_13b,4466.76598784,43.285217280000005,17314086912.0
1375.05538048,107.57058560000026,43028234240.0001,1.0,0.7546722161913606,0.9433402702392006,attention,systolic,figna,16x16,llama_2_13b,1100.044304384,86.05646848000022,34422587392.00008
14133.1267584,136.95713279999998,54782853120.0,1.0000000000000002,0.614724189522295,0.9649740184361606,ffn,systolic,figna,16x16,llama_2_13b,9003.32519424,87.24676608,34898706432.0
17867.06395136,173.14086912000002,69256347648.0,1.0,0.2412553901207715,0.9650215604830861,projection,systolic,figna,16x16,llama_2_70b,4466.76598784,43.285217280000005,17314086912.0
2200.088608768,172.11293696000044,68845174784.00015,1.0,0.47167013492272947,0.9433402698454589,attention,systolic,figna,16x16,llama_2_70b,1100.044304384,86.05646848000022,34422587392.00008
46901.04287232,454.49478144000005,181797912576.0,1.0,0.18524711582206163,0.9650082312591117,ffn,systolic,figna,16x16,llama_2_70b,9003.32519424,87.24676608,34898706432.0
10050.22347264,97.39173888,38956695552.0,1.0000000000000002,0.42889847132581604,0.9650215604830861,projection,systolic,figna,16x16,llama_2_70b_GQA,4466.76598784,43.285217280000005,17314086912.0
2200.088608768,21.518704640000056,8607481856.00002,7.998294499570769,9.313831801513519,2.3289544544811016,attention,systolic,figna,16x16,llama_2_70b_GQA,1100.044304384,86.05646848000022,34422587392.00008
46901.04287232,454.49478144000005,181797912576.0,1.0,0.18524711582206163,0.9650082312591117,ffn,systolic,figna,16x16,llama_2_70b_GQA,9003.32519424,87.24676608,34898706432.0
4466.76598784,43.285217280000005,17314086912.0,1.0,1.0410011758721758,1.041001175872176,projection,simd,mac,16x16,llama_2_7b,4466.76598784,43.285217280000005,17314086912.0
1100.044304384,86.05646848000022,34422587392.00008,1.0,1.0231368856477352,1.0231368856477352,attention,simd,mac,16x16,llama_2_7b,1100.044304384,86.05646848000022,34422587392.00008
9003.32519424,87.24676608,34898706432.0,1.0,1.0410024827574749,1.0410024827574749,ffn,simd,mac,16x16,llama_2_7b,9003.32519424,87.24676608,34898706432.0
6979.321856,67.633152,27053260800.0,1.0000000000000002,0.6662610446903106,1.0410328823286101,projection,simd,mac,16x16,llama_2_13b,4466.76598784,43.285217280000005,17314086912.0
1375.05538048,107.57058560000026,43028234240.0001,1.0,0.8185095069279367,1.0231368836599208,attention,simd,mac,16x16,llama_2_13b,1100.044304384,86.05646848000022,34422587392.00008
14133.1267584,136.95713279999998,54782853120.0,1.0000000000000002,0.6631731546458441,1.0410276264789413,ffn,simd,mac,16x16,llama_2_13b,9003.32519424,87.24676608,34898706432.0
17867.06395136,173.14086912000002,69256347648.0,1.0,0.26027011140870465,1.0410804456348186,projection,simd,mac,16x16,llama_2_70b,4466.76598784,43.285217280000005,17314086912.0
2200.088608768,172.11293696000044,68845174784.00015,1.0,0.5115684415934132,1.0231368831868264,attention,simd,mac,16x16,llama_2_70b,1100.044304384,86.05646848000022,34422587392.00008
46901.04287232,454.49478144000005,181797912576.0,1.0,0.19984776842932386,1.041067444841129,ffn,simd,mac,16x16,llama_2_70b,9003.32519424,87.24676608,34898706432.0
10050.22347264,97.39173888,38956695552.0,1.0000000000000002,0.46270242028214154,1.0410804456348186,projection,simd,mac,16x16,llama_2_70b_GQA,4466.76598784,43.285217280000005,17314086912.0
